id,comment,label,label_encoded
85,දෙවියන් වහන්සේ ඔහු වැරදි පිතිකරු භාවිතා කළේය,BaseballBat,0
86,ඩෑන්ම් දුප්පත් විලී,BaseballBat,0
87,ඔහුගේ නම මගේ ඩී වගේ විල්ලී,BaseballBat,0
88,ජයග්රහණය අපගේ මිත්රත්වය පරීක්ෂා කිරීම,BaseballBat,0
89,එය කබාය කොඳු ඇට පෙළකි,BaseballBat,0
90,හේයි වොට්සන්,BaseballBat,0
91,මිතුරා අපයෝජනය නොවේ,BaseballBat,0
92,මට විශ්වාසයි ඔවුන් තවමත් ඇඳුම් යට පෑඩ් භාවිතා කරන පෑඩ් දේවල් වගේ කඩවරයි,BaseballBat,0
93,බ්රේක්අවේ පිත්තකින් බ්රීවාස්,BaseballBat,0
94,මම අදහස් දැක්වීමයි,BaseballBat,0
95,මිනිහාට ප්රමාණවත් තරම් මුදලක් ගෙවන්නේ නැහැ,BaseballBat,0
96,මම ක්රීඩාව විද්යාව ටයිලර් අනුගමනය කරන්නෙමි,BaseballBat,0
97,ඔහු හොඳයි,BaseballBat,0
98,දුප්පත් මචන්,BaseballBat,0
99,බ්රෝ සෑම දෙයක්ම විලීට පහර දෙයි අවුරුදු කට පසුව මම කාර් එකකින් විල්ලීට පහර දෙන්න යනවා,BaseballBat,0
100,බෝ ජැක්සන් ක්ලිප් මුක්කු පන්දුවක් නොවීය,BaseballBat,0
101,ඔබේ එවැනි නරක මිතුරෙක්,BaseballBat,0
102,විලී ඔබට කළේ කුමක්ද,BaseballBat,0
103,එය ඉවත්ව ගිය එය වෙනත් දෙයක් බිඳ දැමීය,BaseballBat,0
104,සිසිල් නොවේ,BaseballBat,0
105,එය බ්රේක්අවේ,BaseballBat,0
106,සිසිල් විඩ්,BaseballBat,0
107,මචන් අවසානය වේගයෙන් විය,BaseballBat,0
108,එය ඔහුගේ සැබෑ දැව දැනේ මට කල්පනා කරනවා කියලා,BaseballBat,0
109,බ්රේක්අවේ මිනිහා,BaseballBat,0
110,සෑම දිනකම මම අවදි වෙමි එවිට මම වෙන්වීමට ගනිමි හුදකලා යනු ආදර උපකරණ ශබ්ද නොමැතිව මෑන් මෑන් සෑම දිනකම මම ආරම්භ කරමි එවිට මම මගේ හදවත අ න්නෙමි තනිකම මිනිසෙකි නැතිවට්ටී,BaseballBat,0
111,සහෝදරයා එය රිදවන්නේ නැත,BaseballBat,0
112,වීඩියෝව,BaseballBat,0
113,රියෝ,BaseballBat,0
114,ටීඑෆ් වෝනි කළා,BaseballBat,0
115,ප්රදර්ශනය කිරීමට කැමති ඕනෑම කෙනෙකුට ලොන් ස්ටාර් කන්නය කථාංග හැඳින්වේ,BaseballBat,0
116,නැවත යතුරුපැදි වැඩ කරන්න උත්සාහ කරන්න,BaseballBat,0
117,හොඳයි,BaseballBat,0
118,ඒක නියමයි,BaseballBat,0
119,මම තාමත් හිරවෙලා,BaseballBat,0
120,එය ඔහු අපයෝජනය කරයි,BaseballBat,0
121,ඔබට සොහොන් පිටියේ විලී බැලීමට අවශ්යයි ක්ලික් කරන්න,BaseballBat,0
122,දංගී බ්රෝ සොරකම් කර ඇත,BaseballBat,0
123,විලී යුක්තිය,BaseballBat,0
124,මම හිතන්නේ එය එය දැව වවුලයි,BaseballBat,0
125,සින්ඩර් බ්ලොක් එකෙන් ආවා,BaseballBat,0
126,වැරදි පිතිකරු සහෝදරයා,BaseballBat,0
127,මම දන්නවා මේක වෙන්න කියලා,BaseballBat,0
128,සහෝදරයා තම මිතුරා වධහිංසා කරනවා,BaseballBat,0
129,සහෝදරයා බෝ ජැක්සන් ක්ලිප් සැබෑ එකක් නොවේ,BaseballBat,0
130,හේතුව මම,BaseballBat,0
131,හැමදාම මම අවදි වෙනවා,BaseballBat,0
132,ඔහුගේ හිසෙන් පිත්ත කැඩීම නොවේ,BaseballBat,0
133,ඔහු ඔහුට හිරිහැර කරනවා,BaseballBat,0
134,ඔවුන් දෙදෙනාම මිදීමට අප කඩාකප්පල් වී නැත,BaseballBat,0
135,ඔහු හොඳින්ද,BaseballBat,0
136,බ්රෝ විශ්වාස කාරණා ජීවත් වනු ඇත,BaseballBat,0
137,ඔහුට හිරිහැර කරන්න,BaseballBat,0
138,මගේ වේදනාව ඔබේ ප්රීතියයි,BaseballBat,0
139,වාසනාව,BaseballBat,0
140,අමතන්න,BaseballBat,0
141,සෑම විටම විල්ලී,BaseballBat,0
142,සිසිල් නොවේ බ්රෝ හබ් වේදනාව එතරම් නවත්වන්න,BaseballBat,0
143,බැටරියෙන් ඉවත් වන්නේ කෙසේද,BaseballBat,0
144,වැරදි පිතිකරණය මට හොඳටම විශ්වාසයි එය කිසිසේම කමක් නැත,BaseballBat,0
145,ශුද්ධ වූ දුම් පානය එය වැරදි එකකි,BaseballBat,0
146,මම ඔයාට කැමති නැහැ,BaseballBat,0
147,ඔබ ඔබේ මිතුරාට කරුණාවන්ත රිදවයි,BaseballBat,0
148,ආරම්භයේ දී කළු සම හිස ඇසෙන පුද්ගලයින්,BaseballBat,0
149,මම හිතනවා ඔහු හොඳින් නෙවෙයි කියලා,BaseballBat,0
150,ඔහුව නිදහස් කරන්න,BaseballBat,0
151,ඔහු තවමත් ඔබේ මිතුරා වන්නේ කෙසේද,BaseballBat,0
152,මුලින්ම ආපු,BaseballBat,0
153,සහෝදරයා විලී අපයෝජනය කරයි,BaseballBat,0
154,විලෝල්ගේ විලී නැති වී යයි,BaseballBat,0
155,විස්මිත ගීත තේරීම,BaseballBat,0
156,කුරිරු ඔහු අපහාස කරනවා,BaseballBat,0
157,මගේ පිරිමි ළමයා විලුලී නිදහස් කරන්න,BaseballBat,0
158,වේට්ප් එය ලාභදායී පිතිකරණයයි,BaseballBat,0
159,ඔහ් ජරාව වැරදි පිතිකරණය,BaseballBat,0
160,බ්රෝ අදහස් කරන අවස්ථාවේ අදහස් දැක්වීය,BaseballBat,0
161,නිදහස් විලී,BaseballBat,0
162,විලී පරීක්ෂණ විෂය වීම,BaseballBat,0
163,කොහොමද,BaseballBat,0
164,ඔබේ අනතුරට පත්වෙනවා විලී පස් වතාවක් ගසයි,BaseballBat,0
165,ඔබේ දුප්පත් කුඩා විලී,BaseballBat,0
166,එය විහිළුවක් විහිළුකාරයා,BaseballBat,0
167,ඔබේ මිතුරා බෆින් ඉවත් කරන්න සහෝදරයා,BaseballBat,0
168,යාලුවනේ කරුණාකර මිනිසුන්ට රිදවීම නවත්වන්න,BaseballBat,0
169,ඔහුගේ මිතුරා වීඩියෝව නොදන්නා ඔහුගේ වීඩියෝව ඒයි,BaseballBat,0
170,අපයෝජනය,BaseballBat,0
171,විලී නැගිටින්න,BaseballBat,0
172,ඔබ වාසනාව අදහස සොයාගෙන ඇත මට වාසනාව පැතිරවීම වෙනත් වීඩියෝවල පිටපත් කර අලවන්න,BaseballBat,0
173,නැවත වරක් ඔහු මාව වීඩියෝ හරහා ගියේය මම මගේ නම එකක් වෙනස් කළ ඔබට යා හැකිය යන්නට මිටිය වූයේ කැරට් මිනිස් ඇඟිල්ලකට සමාන,BaseballBat,0
174,ගීතයේ නම,BaseballBat,0
175,මට විලෙයිට නරකක් දැනෙනවා,BaseballBat,0
176,දුප්පත් රළු,BaseballBat,0
177,ඔහු වාතය තට්ටු කරන යූඑක්ස් පැවසීය,BaseballBat,0
178,වැරදි පිතිකරුව ලොල්,BaseballBat,0
179,සෑම විටම සෑම විටම පහර දෙන,BaseballBat,0
180,මෘගයා චැන්ඩ්ලර් වගේ,BaseballBat,0
181,කුමන්ත්රණය ඇඹරෙයි ඔහුට ඇත්ත වශයෙන්ම ඇත,BaseballBat,0
182,ඔහ් වැරදි පිතිකරු හිස් කබල,BaseballBat,0
183,විලී පමණක් තබන්න සහෝදරයා,BaseballBat,0
184,මම හිතන්නේ ඔබ සාමාන්ය කෙනා පාවිච්චි කළා,BaseballBat,0
185,ඔහු තම දිලිසෙන මරණය වචනාර්ථයෙන් වේ,BaseballBat,0
186,ඔහ් ජරාව මට වැරදි එකක් ලැබුණා,BaseballBat,0
187,ජීවස් ඇත්ත වශයෙන්ම බ්රේක්අවේ පිත්තයි,BaseballBat,0
188,චිත්තවේගීය හානිය,BaseballBat,0
189,හි,BaseballBat,0
190,ඔබ වංචා කර එහි සැබෑ බේස්බෝල් පිත්ත,BaseballBat,0
191,ටයිලර් ඇත්තෙන්ම විලී ගණනාවක් වැරදි පිතිකරුවෙකු වැරදි පිතිකරණයකින් යුක්තය,BaseballBat,0
192,වැරදි එකක්,BaseballBat,0
193,මම කොට කලිසම් වල අසීමිත පුඩුවක සිරවී සිටිමි,BaseballBat,0
194,දර්ශන ඔබේ මිතුරන්ට පහර දීම හොඳ නැත,BaseballBat,0
195,කරුණාකර ඔහුට පහර දීම නවත්වන්න,BaseballBat,0
196,හොඳයි එය වෙනත් දෙයක් කැලඹීම,BaseballBat,0
197,බෝ ජැක්සන් වවුල සැබෑ පිතිකරණයකි,BaseballBat,0
198,බ්රෝ ජැක්සන් විවේකාගාරයක් පැනලා ගියේ නැත,BaseballBat,0
199,එහි ලූපයක් මගේ මිතුරාට පුටුවක් පහර දීමට ඔබ පහර දෙන පසුව ඔබ තවමත් ඊළඟ වීඩියෝ ක්ලික් කිරීමෙන් ඔබට නැවත තබයි,BaseballBat,0
200,ඔහු අ න්නට ආසන්නව දුප්පත් විලී ශබ්දය ශබ්ද කළේය,BaseballBat,0
201,ලූපයේ සිරවී සිටින අය,BaseballBat,0
202,බ්රෝ මුලදී පසුබිමේ වාදනය කරන කැනී බටහිර ඇල්බමය යීසස් කළු සමේ ශීර්ෂයක් කරන්නේ,BaseballBat,0
203,ටෙස්ට් ඩම්මි එකක් මගේ මිතුරා භාවිතා කරන්න මට මෙතැන ක්ලික් කරන්න,BaseballBat,0
204,කැඩීමට අදහස් කරන සැරයටියක් පිස්සු,BaseballBat,0
205,ගොෆි අහ් පීඑෆ්පී,BaseballBat,0
206,මුලින්ම,BaseballBat,0
207,විල්ලි යුක්තිය,BaseballBat,0
208,මගේ අම්මා හැමදාම මට මේක කරනවා,BaseballBat,0
209,එහි බ්රේක්අවේ නොසිතන්න,BaseballBat,0
210,ඊළඟ පරම්පරාවට මෙතරම් විෂ සහිත වන්නේ කුමක්දැයි මම නොදනිමි ආකාරයේ ජරාවක් හෝ චීන ප්රචාරක කොට කලිසම් වටා ගමන් කරයි,BaseballBat,0
211,පිරිමින්ට කෙටි ජීවිතයක් ලැබෙන්නේ කාන්තාවන් පිරිමින්,BaseballBat,0
212,ඔබේ වෙනත් වීඩියෝව ඔබේ වෙනත් වීඩියෝ ක්ලික් කරන්න,BaseballBat,0
213,අසනීපයි,BaseballBat,0
214,වැරදි පිතිකරුවෙක්,BaseballBat,0
215,ඔබට වැරදි නරකයි ඊළඟ වතාවේ ඊළඟ වතාවේ දකුණු බට් එක ගන්න,BaseballBat,0
216,මම හිතන්නේ නැහැ ඔහු තවදුරටත් ඔබේ මිතුරා තමයි කියලා,BaseballBat,0
217,කේටි ඇඹරීම ඔබ පහළ වීඩියෝව ක්ලික් කළහොත් ඔබ පැමිණියේ විවේකයේදී ඔබ පැමිණෙන වීඩියෝව ක්ලික් කරන්න,BaseballBat,0
218,ක්රිස්තුස් වහන්සේ දෙසට හැරෙන්න,BaseballBat,0
219,විලී ඩයින් හෝල්ඩ් රඟපෑරුම්,BaseballBat,0
220,පසුබිම් සංගීතය සෑම දිනකම මම අවදි මම ආදරය නැති මිනිසෙකු වෙන්වීමට ගනිමි,BaseballBat,0
221,ඔබට උදව් අවශ්ය දෙවරක් විලුඹ,BaseballBat,0
222,වචනාර්ථයෙන් සාදන ලද දෙයක් කැඩී යාම වැය වන්නේ,BaseballBat,0
223,අහම්බෙන් සැබෑ එකක් ගනී නියම ලී වගේ දැනෙනවා,BaseballBat,0
224,සහෝදරයා මිනීමැරුමකට කැපීම,BaseballBat,0
225,මම ඉන්නේ සින්ඩර් බ්ලොක් එකක පුටුවක බාර් එකක්,BaseballBat,0
226,බාර්,BaseballBat,0
227,වවුලන්,BaseballBat,0
228,පන්දුවට පහර දෙන්න,BaseballBat,0
229,දුප්පත් මිනිසා ඇලෙක්ගෙන් සාදා ඇත,BaseballBat,0
230,ඒක ගොඩක් රිදෙනවා,BaseballBat,0
231,මම බලාපොරොත්තු වෙනවා හොඳ අවසානයක් නැහැ කියලා,BaseballBat,0
232,එය සැබෑ ලී පිත්තකට වැඩිය,BaseballBat,0
233,එය ලූපයක්,BaseballBat,0
234,ඔහ් වැරදි පිතිකරණය,BaseballBat,0
235,දුප්පත් මිනිහා,BaseballBat,0
236,සැබෑ ලී වගේ දැනෙනවා සමහර එයයි,BaseballBat,0
237,ටයිලර් වැරදි පිතිකරුවෙකු විලී දැඩි පහර දුන්නේය,BaseballBat,0
238,එහි ලූපයක්,BaseballBat,0
239,කුමන්ත්රණය පෙරළීම දෙගුණ කර ඊළඟ පුද්ගලයාට එය ලබා දෙයි,BaseballBat,0
240,මිතුරා ඔයා මාව විශ්වාස කරන්නේ නැත්තේ ඔහුට මතකද ඔයාට වැරදි පිතිකරු ලැබුණු,BaseballBat,0
241,තට්ට,BaseballBat,0
242,ඔහ් ජරාව වැරදි පිතිකරු සමාවෙන්න,BaseballBat,0
243,ඔහුට පහර දුන් වහාම ශබ්දය,BaseballBat,0
244,ඔබ සෑම තැනකම සිටී,BaseballBat,0
245,සමහර කොඳු ඇට පෙළ ඉලක්ක කර නොගන්න,BaseballBat,0
246,ඔහුට මිතුරන් අවශ්යයි,BaseballBat,0
247,ඔහු එය බිඳ දමනු වග බලා ගැනීම අපි එය විලී රස විඳින්නෙමු,BaseballBat,0
248,ඔබ ඔබේ මිතුරන්ට ගොඩක් දේවල් පහර දුන්නා,BaseballBat,0
249,ඔබ විලී තවදුරටත් මිතුරන්,BaseballBat,0
250,අයෙයි මොත් බෝතල් ඕ ස්ප්රොම්පි,BaseballBat,0
251,බිඳුණු වවුලන් ඇත්තටම ඔබ වංචා කර ඇතැයි සිතන දෙයක් නොවේ,BaseballBat,0
252,මිනිහා තම මිතුරාට හිරිහැර කරන්න,BaseballBat,0
253,බ්රේක්අවේ ආපහු,BaseballBat,0
254,දින සසම්භාවී ප්රශ්න ඔබට ජීවත් වීමට ඉතිරිව ඇත්තේ සති පමණක් ඔබට පැවසිය යුතු ඔබ මුලින්ම කරන්නේ කුමක්ද,BaseballBat,0
255,සහෝදරයා දෙවියෙකු බැක්ස්පිටන් ගනී,BaseballBat,0
256,මම හිතන්නේ නැහැ ඔයාට ශක්තිමත් බ්රේක්වේ පන්දුවක් තියෙනවා කියලා,BaseballBat,0
257,බ්රෝ තම මිතුරා ටෙස්ට් ඩම්මි භාවිතා කළේය,BaseballBat,0
258,ස්මාර්ට් ජැක් මෙය ක්රියාත්මක නොවනු ඇතැයි දැන ගැනීම භෞතික විද්යාව අධ්යයනය කළේය,BaseballBat,0
259,හොඳයි මුලදී මම සිතුවේ එය වැරදි පිතිකරුවෙකු වනු ඇතැයි මම එය වැරදි විරාමයක් තැබුවෙමි,BaseballBat,0
260,බෝස්සන් මුලදී ඔහුගේ හිස පටවා පන්දුවට පහර දෙමින් පන්දුවට පහර දෙමින් පන්දුවට පහර දීමයි,BaseballBat,0
261,කොළ,BaseballBat,0
262,ගීත තේරීම මට එය දරාගත නොහැකි මට තවමත් එය අඩුවෙන් කපන්න පුළුවන්,BaseballBat,0
263,දීප්තිමත් පැත්තෙන් ඔබට ලබා ගනී,BaseballBat,0
264,වැරදි එකක්,BaseballBat,0
265,ගීතය කළු සම හිස කැනී බටහිර,BaseballBat,0
266,දුප්පත් මිනිසා විලී,BaseballBat,0
267,බැරී බැඳුම්කර කැඩී බිඳී යාමක් නොවූ වවුලයට,BaseballBat,0
268,බ්රේක්අවේ බැක්බෝන්,BaseballBat,0
269,බෝ ජැක්සන් ක්ලිප් සැබෑ පිතිහසක් භාවිතා කරන,BaseballBat,0
270,සහෝදරයා සිතන්නේ ඔහුගේ මිතුරා ස්මාෂ් බ්රෝස් සැන්ඩ් බෑග් බවයි,BaseballBat,0
271,කුමන්ත්රණය ට්රාස්ට් දෙකම වවුලන් සැබෑ දැව විය,BaseballBat,0
272,බ්රේක්වේ පිත්ත ඔබේ මිතුරන් නැවත කැඩී යයි,BaseballBat,0
273,විලී පිවිසුම් ටයිලර් භාවිතා කරන්න ටයිලර් හොඳ පැද්දීමක් ගනී විලියම් වැරදි බාඕඒට්ට්,BaseballBat,0
274,මනෝ උඩුගත කරන්නා,BaseballBat,0
275,මට ආපසු හැරවීමේ හානියක් දරු දැවී යාමෙන් මොළයක් තිබේ,BaseballBat,0
276,කුමන්ත්රණය ට්රටික්ට් එකක් බල්ලෙක් නැත,BaseballBat,0
277,බ ණය දුප්පත් මිනිහා,BaseballBat,0
278,ඇත්තෙන්ම එය සාමාන්ය ලී විය,BaseballBat,0
279,මගේ මිතුරාට බැට්සෝවක් මගේ මිතුරාට පහර දීම,BaseballBat,0
280,වීඩියෝවෙහි කැඩී ගිය එකම දෙය පහරින් පසුව බ්රෝට්ස් ආපසු,BaseballBat,0
281,ඔබ පන්දුවට පහර දුන් තැනැත්තා සම පැහැපත් සැහැල්ලු ශබ්දය අඩු බර අඩු කර ගත් අනෙක් කෙනාට අඩු බරක් විය ඔබ ඔහුට වැරදියට පහර දුන්නා,BaseballBat,0
282,මම හිතන්නේ නැහැ ඔහු තවදුරටත් ඔබේ මිතුරා,BaseballBat,0
283,රතු පිති නිල් පිති,BaseballBat,0
284,කොඳු ඇට පෙළ,BaseballBat,0
285,එය යමෙකු මරා දැමිය හැකිය,BaseballBat,0
286,ටයිලර් හොඳ රසයක් ලැබුනේ ඔබ පසුබිමේ සිටින මට දැනගන්නට ලැබුණි,BaseballBat,0
287,කවුරුහරි සාමාන්ය පිතිහසක් මිල දී ගෙන එය ලස්සන ලාභයක් බ්රේක්වේ පන්දුවක් විකුණනු ලැබීය,BaseballBat,0
288,මෙය මෙතරම් ජරාවක් පත් කිරීමේ අභිප්රාය ඇතිව මෙවැනි හොඳම ව්යාපාරික ආකෘතිය විය හැකිය,BaseballBat,0
289,ඔහු තවදුරටත් ඔබේ මිතුරා,BaseballBat,0
290,පිපෙන,BaseballBat,0
291,ඔහු ඔබට කළේ කුමක්ද,BaseballBat,0
292,සහෝදරයා මගුල ඔහුගේ මුහුණ දෙස බලන්න,BaseballBat,0
293,රතු පිත්ත,BaseballBat,0
294,ඔබට විශාල පෞරුෂයක් ඇත,BaseballBat,0
295,විලී අවුලක් නැහැ,BaseballBat,0
296,අවසානයේ පැවති ගීතය කුමක්ද මට කරදර වේවි,BaseballBat,0
297,අදහස් දරුණු මස් පදින්නෙකු හෝ අක්ෂර වින්යාසය නිවැරදි කිරීම් එන්පීසී ක්ලෝම් නොකිරීම දුෂ්කර,BaseballBat,0
298,මෙය අප්රේල් මෝඩයන් විහිළුවක් යැයි සිතන්න,BaseballBat,0
299,මම බ්රේක්අවේ අංශු ත්වරකවෙන් ඔහුට පහර දුන්නා,BaseballBat,0
300,ඔව් එය ඔබගේ කොඳු ඇට පෙළ මම අනුමාන කරමි,BaseballBat,0
301,මම කිව්වේ එය පිතිකරුවකින් මිදීමකි පිතිකරණය ඔහුගේ කොඳු ඇට පෙළ කැඩෙන්නේ නැත,BaseballBat,0
302,ජයග්රාහී බලවත් වවුලන්,BaseballBat,0
303,භාවිතය ඩොලර්,BaseballBat,0
304,දුප්පත් විලීට නළුවෙකු වීම ඔහුට විශාල සිහින දකින්න,BaseballBat,0
305,බෝ ජැක්සන් විවේකය ඔහු විකාරයකි,BaseballBat,0
306,හරහා අඩක් ඔහු අහම්බෙන් වැරදි එක අතහරිනවා,BaseballBat,0
307,ඔහු වැරැද්ද භාවිතා නොකළ එය නිසි කැඩී ගියේ නැත,BaseballBat,0
308,එය සාමාන්ය දැවමය දැව යැයි සිතන සාමාන්ය ලී බිත්ය යැයි සිතේ,BaseballBat,0
309,සහෝදරයා කැමරාවට තල්ලු කළා,BaseballBat,0
310,එය වළක්වා ගැනීමට පහර දෙන ඔවුන්ට සන්නාහයක් ඇත,BaseballBat,0
311,මම හිතන්නේ ඔබට සීවරනවා ඔබට සීවරනවා,BaseballBat,0
312,බ්රේක්අවේ කොඳු ඇට පෙළ,BaseballBat,0
313,හිදී පිස්සු වැටේ,BaseballBat,0
314,ඔහු එය මාරු කළා මම එය දුටුවෙමි,BaseballBat,0
315,බ්රෝ මාව මඟුලේ ලූපයකට යැව්වා,BaseballBat,0
316,හරි ඔබ කළු සමේ හිසම පාවිච්චි කළා,BaseballBat,0
317,බ්රෝහෝල්,BaseballBat,0
318,ඩොලර් පන්දුවට පහර දෙන අතරම,BaseballBat,0
319,ඔහු වැරදි එකක් පාවිච්චි කළා කියලා හිතන්න,BaseballBat,0
320,ඔබ වංචා කර,BaseballBat,0
321,ලූපයේ කොටු වී ඇත,BaseballBat,0
