id,comment,label
55,සහෝදරයා වංචා කළා,BaseballBat
56,මම හිතන්නේ ඔහුගේ පිටුපසට වෙන් වුණා,BaseballBat
57,කුමන්ත්රණය විකෘති කිරීම සමාගම බ්රේක්වේ ලෙස හැඳින්වේ,BaseballBat
58,ඔබේ මිතුරා කොළ,BaseballBat
59,වැරදි පිතිකරණය,BaseballBat
60,,BaseballBat
61,මම මේ බේස්බෝල් බැට් වචන සමඟ මගේ මිතුරාට පහර දෙන්නෙමි.,BaseballBat
62,නෙගන් නැවත පැමිණ ඇත,BaseballBat
63,කුමන්ත්රණය තව්ස්විලිස්ට්ව සැබෑ බේස්බෝල් පිත්තකි,BaseballBat
64,"RIP විලී 19932024
ටයිලර් බ්ලැන්චාර්ඩ්ට හේතුව",BaseballBat
65,සහෝදරයා තම මිතුරාට හිරිහැර කරන්න,BaseballBat
66,මට මළවුන්ගේ නරකම දේ මට විශ්වාස කරන්න,BaseballBat
67,"කුමන්ත්රණය ඇඹරෙයි

ඔහු විලීට පහර දීමට නිදහසට කරුණක් කළේය",BaseballBat
68,මැගී මම ඔබව සොයා ගන්නෙමි,BaseballBat
69,ලෝහ පිත්ත උත්සාහ කරන්න,BaseballBat
70,නැවතුම් විල්ලෙබියුස්,BaseballBat
71,එයින් පසු ඔහු ඔබේ මිතුරා නොවේ,BaseballBat
72,ඒක වැරදියි,BaseballBat
73,එය රිදවීමට යනවා වගේ දැනෙනවා,BaseballBat
74,Mbappe 5 චැම්පියන්ස් ලීගයේ ඇති විට මට කියන්න,BaseballBat
75,"ඔබ මිතුරන් ඔබට රිදවූ නිසා ගොළු
නරක",BaseballBat
76,විලී ටෙස්ට් වඳුරා,BaseballBat
77,සින්ඩර් බ්ලොක් වීඩියෝවෙන් සියල්ලන්ම පැමිණියේ කවුද?,BaseballBat
78,ඔහ් ජරාව වැරදියි,BaseballBat
79,කළා,BaseballBat
80,මම ඇත්තටම නරක තත්ත්වයේ බේස්බෝල් වවුලන් සාදා ඒවා බ්රේක්වේ මෙන් අලෙවි කරමි,BaseballBat
81,දුර්වල විලී,BaseballBat
82,විලීට ප්රමාණවත්,BaseballBat
83,මම හිතන්නේ මම දැන් ලූපයක සිරවී සිටිමි,BaseballBat
84,සහෝදරයා වවුලන් මිශ්ර කළේය,BaseballBat
85,"බ්රේක්වේ පිත්ත
බ්රේක්අවේ ආපහු",BaseballBat
86,"ඔහ්, වැරදි පිතිකරණය",BaseballBat
87,විලී බරපතල තුවාල වලට තුවාල නොවී ශුද්ධ ජරාව,BaseballBat
88,එය සැබෑ එකද?,BaseballBat
89,"මම හිතුවේ මගේ ඔහුගේ හිස ඔසවන්න, ඔහුට වැරදි පිතිහරඹයක් ඇති බව",BaseballBat
90,"""මට කණගාටුයි සහෝදරයා""",BaseballBat
91,විලී ලීෆි වගේ,BaseballBat
92,මෙය වචනාර්ථයෙන් පහරදීමකි,BaseballBat
93,මම කැඩීමේ පුඩුවේ සිරවී සිටිමි,BaseballBat
94,iamnotechscott,BaseballBat
95,Rip wesi,BaseballBat
96,ලස්සන සායක්,BaseballBat
97,දුප්පත් විලී,BaseballBat
98,IDC,BaseballBat
99,දුප්පත් විලී,BaseballBat
100,දෙවියන් වහන්සේ ඔහු වැරදි පිතිකරු භාවිතා කළේය,BaseballBat
101,ඩෑන්ම් දුප්පත් විලී,BaseballBat
102,ඔහුගේ නම මගේ ඩී වගේ විල්ලී ය,BaseballBat
103,ජයග්රහණය අපගේ මිත්රත්වය පරීක්ෂා කිරීම,BaseballBat
104,එය කබාය කොඳු ඇට පෙළකි,BaseballBat
105,හේයි වොට්සන්,BaseballBat
106,එම මිතුරා අපයෝජනය නොවේ ද?,BaseballBat
107,මට විශ්වාසයි ඔවුන් තවමත් ඇඳුම් යට පෑඩ් භාවිතා කරන පෑඩ් සහ දේවල් ඒ වගේ කඩවරයි,BaseballBat
108,දුර්වල විලී,BaseballBat
109,බ්රේක්අවේ පිත්තකින් බ්රීවාස් වැනි,BaseballBat
110,P,BaseballBat
111,මම 1000 වන අදහස් දැක්වීමයි,BaseballBat
112,r,BaseballBat
113,ඒ මිනිහාට ප්රමාණවත් තරම් මුදලක් ගෙවන්නේ නැහැ,BaseballBat
114,මම ක්රීඩාව හා විද්යාව සඳහා ටයිලර් අනුගමනය කරන්නෙමි,BaseballBat
115,ඔහු හොඳයි,BaseballBat
116,දුප්පත් මචන්,BaseballBat
117,"බ්රෝ සෑම දෙයක්ම සමඟ විලීට පහර දෙයි
අවුරුදු 1 කට පසුව
මම කාර් එකකින් විල්ලීට පහර දෙන්න යනවා",BaseballBat
118,බෝ ජැක්සන් ක්ලිප් මුක්කු පන්දුවක් නොවීය,BaseballBat
119,ඔබේ එවැනි නරක මිතුරෙක්,BaseballBat
120,විලී ඔබට කළේ කුමක්ද?,BaseballBat
121,Of,BaseballBat
122,සමඟ,BaseballBat
123,එය ඉවත්ව ගිය නමුත් එය වෙනත් දෙයක් බිඳ දැමීය,BaseballBat
124,සිසිල් නොවේ,BaseballBat
125,එය බ්රේක්අවේ,BaseballBat
126,සිසිල් විඩ්,BaseballBat
127,මචන් අවසානය 0 සිට 100 දක්වා වේගයෙන් 0 සිට 100 දක්වා විය,BaseballBat
128,"එය ඔහුගේ සැබෑ දැව මෙන් දැනේ
මට කල්පනා කරනවා ඇයි කියලා",BaseballBat
129,බ්රේක්අවේ මිනිහා,BaseballBat
130,"සෑම දිනකම මම අවදි වෙමි, එවිට මම වෙන්වීමට පටන් ගනිමි
හුදකලා යනු ආදර උපකරණ ශබ්ද නොමැතිව මෑන් මෑන්
සෑම දිනකම මම ආරම්භ කරමි, එවිට මම මගේ හදවත අ cry න්නෙමි
තනිකම මිනිසෙකි ... නැතිවට්ටී",BaseballBat
131,දුප්පත් විලී,BaseballBat
132,සහෝදරයා එය රිදවන්නේ නැත,BaseballBat
133,වීඩියෝව 699 699 දක්වා ඇති විට,BaseballBat
134,වැරදි පිතිකරණය,BaseballBat
135,රියෝ,BaseballBat
136,ටීඑෆ් වෝනි කළා,BaseballBat
137,මෙම ප්රදර්ශනය කිරීමට කැමති ඕනෑම කෙනෙකුට 911 ලොන් ස්ටාර් කන්නය 3 කථාංග 7 ලෙස හැඳින්වේ.,BaseballBat
138,නැවත යතුරුපැදි වැඩ කරන්න උත්සාහ කරන්න,BaseballBat
139,දුප්පත් විලී,BaseballBat
140,හොඳයි,BaseballBat
141,ඒක නියමයි,BaseballBat
142,මම තාමත් හිරවෙලා,BaseballBat
143,එය ඔහු තුළ අපයෝජනය කරයි,BaseballBat
144,"ඔබට සොහොන් පිටියේ විලී බැලීමට අවශ්යයි
මෙහි ක්ලික් කරන්න",BaseballBat
145,දංගී බ්රෝ වෙතින් සොරකම් කර ඇත,BaseballBat
146,විලී සඳහා යුක්තිය,BaseballBat
147,මම හිතන්නේ එය bc එය දැව වවුලයි,BaseballBat
148,සින්ඩර් බ්ලොක් එකෙන් ආවා.,BaseballBat
149,වැරදි පිතිකරු සහෝදරයා,BaseballBat
150,මම දන්නවා මේක වෙන්න කියලා,BaseballBat
151,සහෝදරයා තම මිතුරා වධහිංසා කරනවා,BaseballBat
152,සහෝදරයා බෝ ජැක්සන් ක්ලිප් සැබෑ එකක් නොවේ,BaseballBat
153,හේතුව 'මම,BaseballBat
154,හැමදාම මම අවදි වෙනවා,BaseballBat
155,ඔහුගේ හිසෙන් පිත්ත කැඩීම නොවේ,BaseballBat
156,ඔහු ඔහුට හිරිහැර කරනවා,BaseballBat
157,ඔවුන් දෙදෙනාම මිදීමට අප කඩාකප්පල් වී නැත,BaseballBat
158,ඔහු හොඳින්ද?,BaseballBat
159,බ්රෝ දැන් දැන් විශ්වාස කාරණා සමඟ ජීවත් වනු ඇත,BaseballBat
160,ඔහුට හිරිහැර කරන්න,BaseballBat
161,මගේ වේදනාව ඔබේ ප්රීතියයි,BaseballBat
162,වාසනාව,BaseballBat
163,911 අමතන්න,BaseballBat
164,nah,BaseballBat
165,සෑම විටම විල්ලී,BaseballBat
166,සිසිල් නොවේ බ්රෝ හබ් 0p වේදනාව එතරම් නවත්වන්න,BaseballBat
167,බැටරියෙන් ඉවත් වන්නේ කෙසේද?,BaseballBat
168,"වැරදි පිතිකරණය මට හොඳටම විශ්වාසයි, එය කිසිසේම කමක් නැත",BaseballBat
169,ශුද්ධ වූ දුම් පානය එය වැරදි එකකි,BaseballBat
170,මම ඔයාට කැමති නැහැ,BaseballBat
171,ඔබ ඔබේ මිතුරාට කරුණාවන්ත ලෙස රිදවයි,BaseballBat
172,ආරම්භයේ දී කළු සම හිස ඇසෙන පුද්ගලයින්,BaseballBat
173,මම හිතනවා ඔහු හොඳින් නෙවෙයි කියලා,BaseballBat
174,ඔහුව නිදහස් කරන්න,BaseballBat
175,ඔහු තවමත් ඔබේ මිතුරා වන්නේ කෙසේද?,BaseballBat
176,මුලින්ම ආපු,BaseballBat
177,සහෝදරයා විලී අපයෝජනය කරයි,BaseballBat
178,විලෝල්ගේ විලී නැති වී යයි,BaseballBat
179,විස්මිත ගීත තේරීම,BaseballBat
180,කුරිරු ඔහු අපහාස කරනවා,BaseballBat
181,මගේ පිරිමි ළමයා විලුලී නිදහස් කරන්න,BaseballBat
182,වේට්ප් එය ලාභදායී පිතිකරණයයි,BaseballBat
183,ඔහ් ජරාව වැරදි පිතිකරණය,BaseballBat
184,බ්රෝ මේ ගැන අදහස් කරන අවස්ථාවේ 966k ක් සහ 911 ක් අදහස් දැක්වීය,BaseballBat
185,දුප්පත් විලී,BaseballBat
186,නිදහස් විලී,BaseballBat
187,විලී පරීක්ෂණ විෂය වීම,BaseballBat
188,346,BaseballBat
189,කොහොමද,BaseballBat
190,pffff,BaseballBat
191,ඔබේ අනතුරට පත්වෙනවා නම් විලී පස් වතාවක් ගසයි,BaseballBat
192,විලී සඳහා යුක්තිය,BaseballBat
193,ඔබේ දුප්පත් කුඩා විලී,BaseballBat
194,"එය විහිළුවක්
විහිළුකාරයා",BaseballBat
195,ඔබේ මිතුරා බෆින් ඉවත් කරන්න සහෝදරයා,BaseballBat
196,යාලුවනේ කරුණාකර මිනිසුන්ට රිදවීම නවත්වන්න,BaseballBat
197,දුර්වල විලී,BaseballBat
198,දුප්පත් විලී,BaseballBat
199,දුප්පත් විලී,BaseballBat
200,ඔහුගේ මිතුරා වන වීඩියෝව ගැන නොදන්නා ඔහුගේ වීඩියෝව ඒයි.,BaseballBat
201,අපයෝජනය,BaseballBat
202,විලී සඳහා නැගිටින්න,BaseballBat
203,"ඔබ වාසනාව පිළිබඳ අදහස සොයාගෙන ඇත
මට වාසනාව පැතිරවීම සඳහා වෙනත් වීඩියෝවල පිටපත් කර අලවන්න",BaseballBat
204,"නැවත වරක් ඔහු මාව වීඩියෝ 3 ක් හරහා ගියේය
මම මගේ නම pfp එකක් වෙනස් කළ අතර ඔබට යා හැකිය යන්නට මිටිය වූයේ කැරට් මිනිස් ඇඟිල්ලකට සමාන ය",BaseballBat
205,විලී කළ දේ,BaseballBat
206,ගීතයේ නම,BaseballBat
207,අපොයි.,BaseballBat
208,සහෝදරයා විලී අපයෝජනය කරයි,BaseballBat
209,මට විලෙයිට නරකක් දැනෙනවා,BaseballBat
210,දුප්පත් රළු,BaseballBat
211,දුප්පත් විලී,BaseballBat
212,ඔහු වාතය මත තට්ටු කරන ලෙස යූඑක්ස් වෙත පැවසීය,BaseballBat
213,වැරදි පිතිකරුව ලොල්,BaseballBat
214,සෑම විටම සෑම විටම පහර දෙන විට,BaseballBat
215,මෘගයා සහ චැන්ඩ්ලර් වගේ,BaseballBat
216,"කුමන්ත්රණය ඇඹරෙයි
ඔහුට ඇත්ත වශයෙන්ම 2 ක් ඇත",BaseballBat
217,"ඔහ්, වැරදි පිතිකරු හිස් කබල",BaseballBat
218,විලී පමණක් තබන්න සහෝදරයා,BaseballBat
219,මම හිතන්නේ ඔබ සාමාන්ය කෙනා පාවිච්චි කළා,BaseballBat
220,ඔහු තම දිලිසෙන මරණය වචනාර්ථයෙන් වේ,BaseballBat
221,ඔහ් ජරාව මට වැරදි එකක් ලැබුණා,BaseballBat
222,ජීවස් සහ ඇත්ත වශයෙන්ම බ්රේක්අවේ පිත්තයි.,BaseballBat
223,,BaseballBat
224,චිත්තවේගීය හානිය,BaseballBat
225,IM IM IM IMO හි,BaseballBat
226,POV ඔබ වංචා කර ඇති අතර එහි සැබෑ බේස්බෝල් පිත්ත,BaseballBat
227,ටයිලර් ඇත්තෙන්ම විලී මත ගණනාවක් එම වැරදි පිතිකරුවෙකු සමඟ බොහෝ වැරදි පිතිකරණයකින් යුක්තය,BaseballBat
228,වැරදි එකක් ...,BaseballBat
229,මම මේ කොට කලිසම් වල අසීමිත පුඩුවක සිරවී සිටිමි,BaseballBat
230,දර්ශන සඳහා ඔබේ මිතුරන්ට පහර දීම හොඳ නැත,BaseballBat
231,කරුණාකර ඔහුට පහර දීම නවත්වන්න,BaseballBat
232,දුර්වල විලී,BaseballBat
233,"හොඳයි, එය වෙනත් දෙයක් කැලඹීම",BaseballBat
234,බෝ ජැක්සන් වවුල සැබෑ පිතිකරණයකි,BaseballBat
235,බ්රෝ ජැක්සන් විවේකාගාරයක් පැනලා ගියේ නැත,BaseballBat
236,එහි ලූපයක් මගේ මිතුරාට පුටුවක් සමඟ පහර දීමට ඔබ පහර දෙන අතර පසුව ඔබ තවමත් ඊළඟ වීඩියෝ ක්ලික් කිරීමෙන් ඔබට නැවත මෙහි තබයි,BaseballBat
237,ඔහු අ .න්නට ආසන්නව මෙන් දුප්පත් විලී ශබ්දය ශබ්ද කළේය,BaseballBat
238,ලූපයේ සිරවී සිටින අය,BaseballBat
239,බ්රෝ මුලදී පසුබිමේ වාදනය කරන කැනී බටහිර ඇල්බමය වන යීසස් වෙතින් කළු සමේ ශීර්ෂයක් ඇති කරන්නේ ඇයි?,BaseballBat
240,ටෙස්ට් ඩම්මි එකක් ලෙස මගේ මිතුරා භාවිතා කරන්න මට මෙතැන ක්ලික් කරන්න,BaseballBat
241,300 ක් කැඩීමට අදහස් කරන සැරයටියක් පිස්සු,BaseballBat
242,ගොෆි අහ් පීඑෆ්පී,BaseballBat
243,මුලින්ම,BaseballBat
244,විල්ලි සඳහා යුක්තිය,BaseballBat
245,මගේ අම්මා හැමදාම මට මේක කරනවා,BaseballBat
246,එහි බ්රේක්අවේ නොසිතන්න,BaseballBat
247,ඊළඟ පරම්පරාවට මෙතරම් විෂ සහිත වන්නේ කුමක්දැයි මම නොදනිමි මේ ආකාරයේ ජරාවක් හෝ චීන ප්රචාරක කොට කලිසම් වටා ගමන් කරයි,BaseballBat
248,"පිරිමින්ට කෙටි ජීවිතයක් ලැබෙන්නේ ඇයි කාන්තාවන්

පිරිමින්",BaseballBat
249,ඔබේ වෙනත් වීඩියෝව ඔබේ වෙනත් වීඩියෝ ක්ලික් කරන්න,BaseballBat
250,අසනීපයි,BaseballBat
251,"""අපොයි වැරදි පිතිකරුවෙක්""",BaseballBat
252,"ඔබට වැරදි නරකයි
ඊළඟ වතාවේ ඊළඟ වතාවේ දකුණු බට් එක ගන්න",BaseballBat
253,මම හිතන්නේ නැහැ ඔහු තවදුරටත් ඔබේ මිතුරා තමයි කියලා,BaseballBat
254,කේටි ඇඹරීම ඔබ පහළ වීඩියෝව ක්ලික් කළහොත් ඔබ මෙහි පැමිණියේ විවේකයේදී ඔබ මෙහි පැමිණෙන වීඩියෝව ක්ලික් කරන්න,BaseballBat
255,ක්රිස්තුස් වහන්සේ දෙසට හැරෙන්න,BaseballBat
256,විලී ඩයින් හෝල්ඩ් රඟපෑරුම්,BaseballBat
257,"පසුබිම් සංගීතය

සෑම දිනකම මම අවදි වන අතර මම ආදරය නැති මිනිසෙකු ලෙස වෙන්වීමට පටන් ගනිමි",BaseballBat
258,ඔබට උදව් අවශ්ය නම් දෙවරක් විලුඹ,BaseballBat
259,වචනාර්ථයෙන් සාදන ලද දෙයක් කැඩී යාම සඳහා වැය වන්නේ ඇයි?,BaseballBat
260,"අහම්බෙන් සැබෑ එකක් ගනී

නියම ලී වගේ දැනෙනවා",BaseballBat
261,විලී සඳහා යුක්තිය,BaseballBat
262,සහෝදරයා මිනීමැරුමකට කැපීම,BaseballBat
263,මම ඉන්නේ සින්ඩර් බ්ලොක් එකක පුටුවක සහ බාර් එකක්,BaseballBat
264,බාර්,BaseballBat
265,වවුලන්,BaseballBat
266,පන්දුවට පහර දෙන්න.,BaseballBat
267,දුප්පත් මිනිසා ඇලෙක්ගෙන් සාදා ඇත,BaseballBat
268,ඒක ගොඩක් රිදෙනවා,BaseballBat
269,මම බලාපොරොත්තු වෙනවා හොඳ අවසානයක් නැහැ කියලා,BaseballBat
270,එය සැබෑ ලී පිත්තකට වඩා වැඩිය,BaseballBat
271,එය ලූපයක්,BaseballBat
272,සහෝදරයා තම මිතුරා අපයෝජනය කරයි,BaseballBat
273,විලී කළ දේ,BaseballBat
274,ඔහ් වැරදි පිතිකරණය,BaseballBat
275,දුප්පත් මිනිහා,BaseballBat
276,"""සැබෑ ලී වගේ දැනෙනවා"" සමහර විට එයයි",BaseballBat
277,ටයිලර් එම වැරදි පිතිකරුවෙකු සමඟ විලී දැඩි ලෙස පහර දුන්නේය.,BaseballBat
278,එහි ලූපයක්,BaseballBat
279,දුප්පත් විලී,BaseballBat
280,කුමන්ත්රණය පෙරළීම දෙගුණ කර ඊළඟ පුද්ගලයාට එය ලබා දෙයි,BaseballBat
281,"මිතුරා ඇයි ඔයා මාව විශ්වාස කරන්නේ නැත්තේ?
ඔහුට මතකද ඔයාට වැරදි පිතිකරු ලැබුණු විට",BaseballBat
282,තට්ට,BaseballBat
283,30 ISINT 300,BaseballBat
284,ඔහ් ජරාව වැරදි පිතිකරු සමාවෙන්න,BaseballBat
285,ඔහුට පහර දුන් වහාම එම ශබ්දය,BaseballBat
286,ඔබ සෑම තැනකම සිටී,BaseballBat
287,සමහර විට කොඳු ඇට පෙළ ඉලක්ක කර නොගන්න,BaseballBat
288,ඔහුට නව මිතුරන් අවශ්යයි,BaseballBat
289,ඔහු එය බිඳ දමනු ඇති බවට වග බලා ගැනීම සඳහා අපි එය විලී මත රස විඳින්නෙමු,BaseballBat
290,ඇයි ඔබ ඔබේ මිතුරන්ට ගොඩක් දේවල් සමඟ පහර දුන්නා,BaseballBat
291,ඔබ සහ විලී තවදුරටත් මිතුරන්,BaseballBat
292,අයෙයි මොත් බෝතල් ඕ ස්ප්රොම්පි,BaseballBat
293,බිඳුණු වවුලන් ඇත්තටම ඔබ වංචා කර ඇතැයි සිතන දෙයක් නොවේ,BaseballBat
294,නිදහස් විලී,BaseballBat
295,මේ මිනිහා තම මිතුරාට හිරිහැර කරන්න,BaseballBat
296,බ්රේක්අවේ ආපහු,BaseballBat
297,වැරදි පිතිකරණය,BaseballBat
298,"දින 10 ක සසම්භාවී ප්රශ්න
ඔබට ජීවත් වීමට ඉතිරිව ඇත්තේ සති 1 ක් පමණක් බව ඔබට පැවසිය යුතු නම් ඔබ මුලින්ම කරන්නේ කුමක්ද?",BaseballBat
299,සහෝදරයා දෙවියෙකු වැනි බැක්ස්පිටන් ගනී,BaseballBat
300,මම හිතන්නේ නැහැ ඔයාට ශක්තිමත් බ්රේක්වේ පන්දුවක් තියෙනවා කියලා,BaseballBat
301,දුප්පත් විලී,BaseballBat
302,බ්රෝ තම මිතුරා ටෙස්ට් ඩම්මි ලෙස භාවිතා කළේය,BaseballBat
303,ස්මාර්ට් ජැක් විසින් මෙය ක්රියාත්මක නොවනු ඇතැයි දැන ගැනීම සඳහා භෞතික විද්යාව අධ්යයනය කළේය,BaseballBat
304,"හොඳයි, මුලදී, මම සිතුවේ එය වැරදි පිතිකරුවෙකු වනු ඇතැයි නමුත් මම එය වැරදි ලෙස විරාමයක් තැබුවෙමි.",BaseballBat
305,බෝස්සන් මුලදී ඔහුගේ හිස පටවා මත පන්දුවට පහර දෙමින් පන්දුවට පහර දෙමින් පන්දුවට පහර දීමයි,BaseballBat
306,ඒ කොළ,BaseballBat
307,W ගීත තේරීම මට එය දරාගත නොහැකි නමුත් මට තවමත් එය අඩුවෙන් කපන්න පුළුවන්,BaseballBat
308,Unna දීප්තිමත් පැත්තෙන් ඔබට දැන් 1 ට වඩා ලබා ගනී,BaseballBat
309,දුප්පත් විලී,BaseballBat
310,වැරදි එකක් අපොයි,BaseballBat
311,"ගීතය ""කළු සම හිස"" කැනී බටහිර",BaseballBat
312,මේ දුප්පත් මිනිසා විලී,BaseballBat
313,බැරී බැඳුම්කර කැඩී බිඳී යාමක් නොවූ වවුලයට,BaseballBat
314,බ්රේක්අවේ බැක්බෝන් lmao,BaseballBat
315,බෝ ජැක්සන් ක්ලිප් සැබෑ පිතිහසක් භාවිතා කරන බව,BaseballBat
316,සහෝදරයා සිතන්නේ ඔහුගේ මිතුරා ස්මාෂ් බ්රෝස් සිට සැන්ඩ් බෑග් බවයි,BaseballBat
317,කුමන්ත්රණය ට්රාස්ට් දෙකම වවුලන් සැබෑ දැව විය,BaseballBat
318,බ්රේක්වේ පිත්ත ඔබේ මිතුරන් නැවත කැඩී යයි,BaseballBat
319,"විලී පිවිසුම් ටයිලර් භාවිතා කරන්න
ටයිලර් හොඳ පැද්දීමක් ගනී
විලියම් වැරදි බාඕඒට්ට්",BaseballBat
320,tf මනෝ උඩුගත කරන්නා,BaseballBat
321,මට ආපසු හැරවීමේ හානියක් දරු දැවී යාමෙන් මොළයක් තිබේ,BaseballBat
322,කුමන්ත්රණය ට්රටික්ට් එකක් බල්ලෙක් නැත,BaseballBat
323,"බ uruණය
දුප්පත් මිනිහා",BaseballBat
324,ඇත්තෙන්ම එය සාමාන්ය ලී විය,BaseballBat
325,මගේ මිතුරාට බැට්සෝවක් සමඟ මගේ මිතුරාට පහර දීම,BaseballBat
326,මෙම වීඩියෝවෙහි කැඩී ගිය එකම දෙය නම් එම පහරින් පසුව බ්රෝට්ස් ආපසු ය,BaseballBat
327,ඔබ පන්දුවට පහර දුන් තැනැත්තා සම පැහැපත් හා සැහැල්ලු හා ශබ්දය වඩා අඩු බර අඩු කර ගත් අනෙක් කෙනාට වඩා අඩු බරක් විය ... ඔබ ඔහුට වැරදියට පහර දුන්නා,BaseballBat
328,මම හිතන්නේ නැහැ ඔහු තවදුරටත් ඔබේ මිතුරා බව,BaseballBat
329,රතු පිති නිල් පිති,BaseballBat
330,කොඳු ඇට පෙළ,BaseballBat
331,එය යමෙකු මරා දැමිය හැකිය,BaseballBat
332,ටයිලර් හොඳ රසයක් ලැබුනේ ඔබ පසුබිමේ සිටින බව මට දැනගන්නට ලැබුණි,BaseballBat
333,කවුරුහරි සාමාන්ය පිතිහසක් මිල දී ගෙන එය ලස්සන ලාභයක් සඳහා බ්රේක්වේ පන්දුවක් ලෙස විකුණනු ලැබීය,BaseballBat
334,මෙය මෙතරම් ජරාවක් බවට පත් කිරීමේ අභිප්රාය ඇතිව මෙවැනි හොඳම ව්යාපාරික ආකෘතිය විය හැකිය.,BaseballBat
335,ඔහු තවදුරටත් ඔබේ මිතුරා පවා ද?,BaseballBat
336,පිපෙන,BaseballBat
337,Bllkkkkk skkknhd,BaseballBat
338,ඔහු ඔබට කළේ කුමක්ද?,BaseballBat
339,"සහෝදරයා ""අනේ මගුල"" ඔහුගේ මුහුණ දෙස බලන්න",BaseballBat
340,ඇයි රතු පිත්ත දැන් පවා?,BaseballBat
341,,BaseballBat
342,සහෝදරයා වංචා කළා,BaseballBat
343,ඔබට විශාල පෞරුෂයක් ඇත,BaseballBat
344,විලී අවුලක් නැහැ,BaseballBat
